fraction,adj.z
0,0,-1.73952746796975
1,0,0.494390783892182
2,0,-2.121839360083
3,0,-0.552147335127618
4,0,-1.73952746796975
5,0,1.12866654907282
6,0,1.00795698524876
7,0,0.938215027917755
8,0,1.23475333524923
9,0,1.38173823787932
10,0.2,-0.160334991287471
11,0.2,-1.73952746796975
12,0.2,0.938215027917755
13,0.2,-1.73952746796975
14,0.2,-0.11249423449094
15,0.2,0.0143610128383137
16,0.2,-1.73952746796975
17,0.2,0.405898858218614
18,0.2,-1.21944434321692
19,0.2,-1.73952746796975
20,0.4,0.938215027917755
21,0.4,0.677853844589734
22,0.4,-1.73952746796975
23,0.4,0.117591988285401
24,0.4,0.468808462566176
25,0.4,0.368866528209251
26,0.4,0.402370166877783
27,0.4,-0.902375637863225
28,0.4,-1.73952746796975
29,0.4,0.674740611546749
30,0.6,-1.10066214135115
31,0.6,1.38173823787932
32,0.6,1.23475333524923
33,0.6,1.20718068851284
34,0.6,1.58269227988368
35,0.6,0.832820497372119
36,0.6,1.00795698524876
37,0.6,0.428224810993685
38,0.6,1.00698167882631
39,0.6,1.64194761280108
40,0.8,0.997734365955904
41,0.8,1.00795698524876
42,0.8,1.38173823787932
43,0.8,1.38173823787932
44,0.8,1.00795698524876
45,0.8,1.20718068851284
46,0.8,1.38173823787932
47,0.8,1.38173823787932
48,0.8,0.230120507958384
49,0.8,1.23475333524923
50,1,1.38173823787932
51,1,1.20718068851284
52,1,1.23475333524923
53,1,1.23475333524923
54,1,1.38173823787932
55,1,1.23475333524923
56,1,1.23475333524923
57,1,1.23475333524923
58,1,1.23475333524923
59,1,1.28684137160351
